Date,Close,Weight
2021-12-06,19.22,0.0455096
2021-12-07,19.96,-0.173195
2021-12-08,19.81,-0.138856
2021-12-09,19.57,-0.0770676
2021-12-10,21.45,-0.641751
2021-12-13,20.43,-0.370436
2021-12-14,20.05,-0.262951
2021-12-15,20.19,-0.315518
2021-12-16,20.35,-0.375237
2021-12-17,19.77,-0.199581
2021-12-20,19.42,-0.106804
2021-12-21,19.61,-0.176145
2021-12-22,20.14,-0.360842
2021-12-23,20.25,-0.406495
2021-12-27,20.8,-0.634211
2021-12-28,20.76,-0.630052
2021-12-29,20.56,-0.568106
2021-12-30,20.47,-0.544598
2021-12-31,20.77,-0.662967
2022-01-03,21.77,-1.06694
2022-01-04,24.31,-2.04156
2022-01-05,23.66,-1.81415
2022-01-06,24.46,-2.14109
2022-01-07,24.44,-2.15455
2022-01-10,23.85,-1.98235
2022-01-11,24.35,-2.20211
2022-01-12,24.47,-2.27114
2022-01-13,25.02,-2.51648
2022-01-14,25.19,-2.6089
2022-01-18,24.38,-2.35581
2022-01-19,22.45,-1.54926
2022-01-20,21.65,-1.21748
2022-01-21,20.65,-0.793373
2022-01-24,20.39,-0.699376
2022-01-25,19.98,-0.521871
2022-01-26,19.91,-0.495006
2022-01-27,19.55,-0.33576
2022-01-28,19.54,-0.334307
2022-01-31,20.3,-0.698541
2022-02-01,20.66,-0.873359
2022-02-02,20.63,-0.865458
2022-02-03,19.89,-0.518129
2022-02-04,17.96,0.406512
2022-02-07,17.89,0.449682
2022-02-08,17.72,0.537037
2022-02-09,18.35,0.227647
2022-02-10,18.08,0.364862
2022-02-11,17.55,0.635001
2022-02-14,17.46,0.696032
2022-02-15,18.08,0.380752
2022-02-16,18.01,0.42064
2022-02-17,17.54,0.670611
2022-02-18,18.04,0.412462
2022-02-22,17.29,0.833667
2022-02-23,16.95,1.02519
2022-02-24,17.15,0.923711
2022-02-25,17.83,0.556906
2022-02-28,17.56,0.723961
2022-03-01,16.7,1.21483
2022-03-02,18.1,0.430732
2022-03-03,17.6,0.720478
2022-03-04,16.85,1.15694
2022-03-07,15.97,1.69757
2022-03-08,16.03,1.67461
2022-03-09,16.37,1.4862
2022-03-10,16.33,1.52102
2022-03-11,16.04,1.70528
2022-03-14,15.74,1.92452
2022-03-15,16.06,1.74308
2022-03-16,16.58,1.43705
2022-03-17,16.58,1.44809
2022-03-18,16.86,1.28576
2022-03-21,16.48,1.55607
2022-03-22,17.095,1.17881
